age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,weekend_usage_difference,sleep_deficit,notification_intensity
19,2,7.55,5.81,2.23,5.96,4.69,63,25,10.5,High,Yes,Moderate,1,2.95,3.3099999999999996,8.344370860927153
27,2,10.79,0.93,0.8,5.21,5.15,119,111,11.54,Medium,No,Severe,1,0.75,2.8499999999999996,11.02873030583874
19,1,6.09,4.9,0.96,4.12,5.0,187,118,6.67,Medium,Yes,Moderate,1,0.5800000000000001,3.0,30.706075533661743
28,2,5.03,5.48,2.71,3.12,8.78,113,86,6.27,High,Yes,Moderate,1,1.2399999999999993,-0.7799999999999994,22.46520874751491
24,0,3.72,4.63,1.16,4.6,8.2,166,101,6.04,High,No,Severe,1,2.32,-0.1999999999999993,44.62365591397849
30,1,11.98,1.23,1.63,1.87,7.66,167,111,14.79,Medium,Yes,Moderate,1,2.8099999999999987,0.33999999999999986,13.939899833055092
30,0,3.66,3.44,0.07,2.56,8.16,134,16,4.7,Medium,No,Moderate,0,1.04,-0.16000000000000014,36.612021857923494
19,0,6.54,0.73,1.58,2.89,4.54,31,48,8.87,High,Yes,Moderate,1,2.329999999999999,3.46,4.740061162079511
18,1,8.61,3.73,0.04,1.69,4.7,50,57,9.26,High,Yes,Moderate,1,0.6500000000000004,3.3,5.807200929152149
29,1,4.22,3.85,1.36,4.29,7.95,137,109,6.14,High,No,Moderate,0,1.92,0.04999999999999982,32.46445497630332
23,0,11.72,0.73,2.49,3.43,4.69,240,133,13.09,Medium,No,Severe,1,1.3699999999999992,3.3099999999999996,20.477815699658702
26,1,11.83,3.75,0.55,2.25,7.86,174,87,14.06,Medium,Yes,Moderate,1,2.2300000000000004,0.13999999999999968,14.708368554522401
35,0,3.15,3.59,2.87,3.77,6.07,109,150,4.18,Medium,No,Mild,0,1.0299999999999998,1.9299999999999997,34.6031746031746
23,1,10.8,3.78,2.74,1.32,6.72,146,28,12.09,Medium,No,Moderate,1,1.2899999999999991,1.2800000000000002,13.518518518518517
31,0,3.92,2.81,0.56,3.48,4.64,22,90,5.54,High,Yes,Mild,0,1.62,3.3600000000000003,5.612244897959184
18,0,4.18,2.44,3.98,2.51,6.14,38,110,7.07,High,Yes,Moderate,0,2.8900000000000006,1.8600000000000003,9.090909090909092
25,1,9.11,3.99,0.36,3.23,4.92,128,28,10.48,Medium,Yes,Severe,1,1.370000000000001,3.08,14.050493962678376
23,1,5.3,0.91,0.98,2.3,6.49,87,29,7.57,Medium,No,Moderate,0,2.2700000000000005,1.5099999999999998,16.41509433962264
28,2,9.25,5.93,1.87,0.8,7.75,51,161,12.08,Low,No,Severe,1,2.83,0.25,5.513513513513513
27,2,10.63,2.73,0.86,2.32,8.48,161,75,11.62,Medium,No,Severe,1,0.9899999999999984,-0.4800000000000004,15.145813734713075
35,2,7.14,3.51,0.03,4.28,4.72,67,77,10.12,High,No,Moderate,1,2.9799999999999995,3.2800000000000002,9.38375350140056
20,1,7.88,1.84,0.02,4.03,7.04,61,21,9.89,Medium,No,Mild,0,2.0100000000000007,0.96,7.741116751269035
24,1,10.65,1.29,2.83,4.34,5.46,194,49,11.68,Medium,No,Severe,1,1.0299999999999994,2.54,18.215962441314552
23,1,10.82,5.57,1.29,4.7,8.17,225,132,12.26,High,Yes,Severe,1,1.4399999999999995,-0.16999999999999993,20.794824399260627
32,2,7.26,1.8,3.73,1.38,7.74,242,101,9.39,Low,Yes,Mild,0,2.130000000000001,0.2599999999999998,33.333333333333336
23,1,3.2,1.02,2.75,0.5,6.4,68,73,5.6,Low,No,Mild,0,2.3999999999999995,1.5999999999999996,21.25
24,1,11.65,3.22,0.28,3.75,5.17,175,17,14.15,Medium,No,Severe,1,2.5,2.83,15.02145922746781
28,2,10.58,4.3,0.51,2.64,8.62,133,97,12.17,High,Yes,Moderate,1,1.5899999999999999,-0.6199999999999992,12.570888468809073
25,0,4.12,0.52,3.33,4.84,8.93,74,54,5.08,Medium,Yes,Moderate,0,0.96,-0.9299999999999997,17.961165048543688
32,1,7.21,1.7,3.76,2.78,7.77,199,23,10.1,Medium,No,Moderate,1,2.8899999999999997,0.23000000000000043,27.600554785020805
32,2,3.03,3.57,0.21,2.58,4.66,177,95,3.95,High,No,Moderate,0,0.9200000000000004,3.34,58.41584158415842
27,0,3.76,5.03,2.56,4.85,5.84,33,48,6.5,Medium,Yes,Severe,1,2.74,2.16,8.77659574468085
29,2,7.56,2.85,1.68,2.54,8.67,235,125,10.14,Low,Yes,Mild,0,2.580000000000001,-0.6699999999999999,31.084656084656086
30,2,4.72,3.3,3.93,3.99,8.07,123,82,7.58,High,Yes,Mild,0,2.8600000000000003,-0.07000000000000028,26.059322033898308
32,2,5.41,3.77,2.58,1.65,6.85,75,165,7.66,High,No,Mild,0,2.25,1.1500000000000004,13.863216266173753
20,1,5.32,5.53,2.02,0.69,7.83,247,95,7.85,Low,No,Moderate,1,2.5299999999999994,0.16999999999999993,46.42857142857142
31,1,9.98,2.9,0.87,1.22,5.5,171,80,12.71,Low,Yes,Moderate,1,2.7300000000000004,2.5,17.13426853707415
35,0,8.27,5.64,2.13,4.08,7.47,46,99,10.31,High,No,Moderate,1,2.040000000000001,0.5300000000000002,5.562273276904475
18,0,3.04,0.9,2.74,2.9,7.65,244,56,3.88,Low,No,Mild,0,0.8399999999999999,0.34999999999999964,80.26315789473684
23,1,10.44,5.61,0.65,2.69,6.57,149,140,11.1,High,Yes,Moderate,1,0.6600000000000001,1.4299999999999997,14.272030651340996
32,2,7.73,3.5,1.93,2.31,6.96,237,89,8.4,High,Yes,Moderate,1,0.6699999999999999,1.04,30.659767141009056
20,1,11.89,1.6,2.89,3.67,6.17,98,134,14.26,High,No,Severe,1,2.369999999999999,1.83,8.242220353238014
28,1,7.64,4.28,2.49,3.62,8.09,69,153,8.74,Low,No,Moderate,1,1.1000000000000005,-0.08999999999999986,9.031413612565446
30,0,10.24,0.78,2.17,3.66,5.13,41,113,11.74,Low,Yes,Severe,1,1.5,2.87,4.00390625
29,0,11.11,4.53,2.74,2.73,5.75,147,148,13.98,Medium,No,Severe,1,2.870000000000001,2.25,13.231323132313232
29,0,3.9,5.81,1.02,2.87,4.53,33,113,5.71,Medium,No,Moderate,1,1.81,3.4699999999999998,8.461538461538462
19,0,6.22,2.78,1.41,2.29,5.19,248,80,8.87,Medium,Yes,Moderate,1,2.6499999999999995,2.8099999999999996,39.87138263665595
18,1,4.29,5.16,0.81,3.41,8.6,129,19,6.07,Low,No,Severe,1,1.7800000000000002,-0.5999999999999996,30.06993006993007
20,1,7.07,5.77,1.63,0.75,7.3,227,83,7.95,Low,No,Moderate,1,0.8799999999999999,0.7000000000000002,32.10749646393211
19,0,10.18,2.33,0.19,3.86,6.91,27,170,12.62,Medium,Yes,Moderate,1,2.4399999999999995,1.0899999999999999,2.6522593320235757
18,1,8.25,2.88,0.26,3.84,7.18,242,162,10.94,Low,No,Severe,1,2.6899999999999995,0.8200000000000003,29.333333333333332
35,0,5.42,1.65,1.56,1.99,4.56,101,25,7.08,Medium,No,Mild,0,1.6600000000000001,3.4400000000000004,18.634686346863468
34,2,11.76,0.58,1.29,4.02,8.79,166,79,13.95,Medium,Yes,Moderate,1,2.1899999999999995,-0.7899999999999991,14.115646258503402
31,0,3.01,4.44,1.0,1.31,8.42,239,26,5.51,Low,No,Moderate,1,2.5,-0.41999999999999993,79.40199335548174
34,0,5.52,5.13,0.07,1.55,5.9,30,73,6.26,High,No,Severe,1,0.7400000000000002,2.0999999999999996,5.434782608695652
27,1,7.79,3.03,2.44,5.76,5.01,99,32,9.57,Medium,No,Mild,0,1.7800000000000002,2.99,12.70860077021823
18,1,7.51,4.65,0.52,3.84,8.04,153,116,9.75,Medium,Yes,Severe,1,2.24,-0.03999999999999915,20.3728362183755
25,0,8.82,1.71,3.88,2.86,7.82,112,155,10.26,High,No,Moderate,1,1.4399999999999995,0.17999999999999972,12.698412698412698
31,0,10.55,2.11,2.07,1.04,8.92,69,15,12.01,Low,Yes,Moderate,1,1.459999999999999,-0.9199999999999999,6.540284360189573
20,0,11.84,3.41,3.57,4.7,6.61,148,53,13.08,Low,No,Severe,1,1.2400000000000002,1.3899999999999997,12.5
27,1,6.73,3.52,3.34,5.63,8.68,80,49,8.38,Low,Yes,Moderate,1,1.6500000000000004,-0.6799999999999997,11.88707280832095
32,0,8.62,5.7,0.11,1.33,5.27,140,161,9.26,High,No,Severe,1,0.6400000000000006,2.7300000000000004,16.241299303944317
35,0,8.65,2.96,2.68,3.54,8.14,134,163,9.96,Medium,Yes,Severe,1,1.3100000000000005,-0.14000000000000057,15.491329479768785
33,0,5.83,1.61,2.1,5.94,8.45,159,153,7.89,Low,No,Moderate,0,2.0599999999999996,-0.4499999999999993,27.272727272727273
34,0,3.6,3.71,1.28,3.81,7.01,97,109,5.37,High,No,Moderate,0,1.77,0.9900000000000002,26.944444444444443
35,1,4.89,1.95,2.05,2.76,6.86,240,54,7.79,High,No,Mild,0,2.9000000000000004,1.1399999999999997,49.079754601226995
22,1,5.14,2.7,0.44,1.13,7.34,190,169,5.71,Medium,Yes,Moderate,0,0.5700000000000003,0.6600000000000001,36.964980544747085
35,0,7.71,2.63,2.62,4.69,6.8,54,21,9.83,Medium,Yes,Moderate,1,2.12,1.2000000000000002,7.003891050583658
19,0,10.86,0.76,2.34,1.71,8.01,170,157,11.72,High,Yes,Moderate,1,0.8600000000000012,-0.009999999999999787,15.653775322283611
34,0,8.96,5.17,2.65,3.84,6.54,31,77,11.24,Low,No,Severe,1,2.2799999999999994,1.46,3.4598214285714284
32,0,7.6,2.78,2.07,4.51,5.51,68,101,8.99,Medium,Yes,Moderate,1,1.3900000000000006,2.49,8.947368421052632
25,0,9.66,4.71,3.36,4.12,8.46,45,97,10.98,High,Yes,Severe,1,1.3200000000000003,-0.46000000000000085,4.658385093167702
19,1,6.22,4.04,2.1,3.9,7.54,209,71,8.01,High,No,Severe,1,1.79,0.45999999999999996,33.60128617363344
27,1,6.31,3.3,0.84,5.85,5.9,98,138,9.19,High,Yes,Mild,0,2.88,2.0999999999999996,15.530903328050714
28,2,10.66,1.59,2.14,2.94,5.96,212,115,13.21,High,Yes,Moderate,1,2.5500000000000007,2.04,19.887429643527206
32,0,10.91,2.98,1.79,0.79,8.47,79,178,13.84,High,No,Severe,1,2.9299999999999997,-0.47000000000000064,7.241063244729606
34,1,5.63,2.77,1.89,4.96,4.61,214,74,8.18,Medium,No,Mild,0,2.55,3.3899999999999997,38.01065719360569
20,0,6.89,5.66,2.45,3.14,7.91,149,68,9.56,Medium,No,Severe,1,2.670000000000001,0.08999999999999986,21.6255442670537
23,2,8.41,4.37,0.59,2.92,4.97,120,158,10.85,Low,Yes,Moderate,1,2.4399999999999995,3.0300000000000002,14.26872770511296
20,2,5.98,2.53,2.82,2.17,5.24,230,73,7.05,Medium,Yes,Mild,0,1.0699999999999994,2.76,38.46153846153846
29,0,3.62,2.41,2.96,3.46,7.12,224,114,4.18,Medium,Yes,Mild,0,0.5599999999999996,0.8799999999999999,61.87845303867403
30,0,10.62,4.4,1.56,4.5,6.05,181,161,12.01,Medium,Yes,Severe,1,1.3900000000000006,1.9500000000000002,17.04331450094162
21,1,6.82,2.93,1.35,5.72,8.54,39,146,8.98,Medium,Yes,Moderate,1,2.16,-0.5399999999999991,5.718475073313782
25,0,10.09,2.15,1.09,3.14,7.65,34,166,11.23,High,Yes,Severe,1,1.1400000000000006,0.34999999999999964,3.3696729435084243
27,1,3.23,5.98,2.37,4.45,5.06,123,88,5.39,Low,Yes,Moderate,1,2.1599999999999997,2.9400000000000004,38.080495356037154
31,0,11.66,3.99,3.88,4.62,7.09,185,164,13.12,Low,Yes,Moderate,1,1.459999999999999,0.9100000000000001,15.866209262435678
30,0,7.07,1.18,2.99,5.94,6.36,39,15,7.92,Medium,No,Mild,0,0.8499999999999996,1.6399999999999997,5.516265912305516
23,1,10.3,5.57,0.54,5.17,5.08,194,71,11.47,High,Yes,Moderate,1,1.17,2.92,18.834951456310677
32,1,11.75,3.55,3.56,3.19,7.28,24,39,13.44,Medium,Yes,Severe,1,1.6899999999999995,0.7199999999999998,2.0425531914893615
27,0,5.48,2.72,1.1,0.65,5.24,82,104,6.14,Medium,No,Mild,0,0.6599999999999993,2.76,14.963503649635035
27,2,4.26,4.95,3.25,1.11,6.23,145,47,5.71,Low,No,Severe,1,1.4500000000000002,1.7699999999999996,34.03755868544601
28,1,6.2,4.67,2.56,3.17,6.47,237,82,8.73,Medium,Yes,Moderate,1,2.5300000000000002,1.5300000000000002,38.225806451612904
35,2,5.91,5.85,2.97,2.34,4.79,204,68,8.49,Medium,No,Severe,1,2.58,3.21,34.51776649746193
30,0,7.33,1.49,3.64,1.76,4.5,140,76,10.22,Low,No,Moderate,1,2.8900000000000006,3.5,19.099590723055936
30,2,9.58,4.33,1.5,3.15,7.11,70,53,10.97,Low,No,Severe,1,1.3900000000000006,0.8899999999999997,7.306889352818372
34,0,7.2,5.03,0.85,1.24,7.6,94,18,9.16,Medium,Yes,Severe,1,1.96,0.40000000000000036,13.055555555555555
31,1,6.82,3.33,0.21,3.41,6.18,33,30,7.57,High,No,Mild,0,0.75,1.8200000000000003,4.838709677419355
27,0,4.86,0.96,0.37,0.86,5.53,143,151,6.39,High,Yes,Moderate,0,1.5299999999999994,2.4699999999999998,29.4238683127572
35,0,3.7,3.01,0.18,4.19,7.34,101,123,4.95,Medium,No,Moderate,0,1.25,0.6600000000000001,27.297297297297295
35,1,8.87,0.51,3.45,5.02,7.45,82,33,10.3,Medium,Yes,Moderate,1,1.4300000000000015,0.5499999999999998,9.244644870349493
30,1,3.3,1.52,0.22,5.77,6.44,105,180,5.53,Medium,Yes,Mild,0,2.2300000000000004,1.5599999999999996,31.81818181818182
23,2,5.59,1.03,1.16,1.34,6.32,142,24,6.35,Low,No,Mild,0,0.7599999999999998,1.6799999999999997,25.402504472271914
22,1,3.17,5.91,1.61,5.41,5.43,209,147,4.02,Low,Yes,Severe,1,0.8499999999999996,2.5700000000000003,65.93059936908517
19,2,11.92,1.78,3.91,1.22,7.49,32,110,13.36,High,Yes,Moderate,1,1.4399999999999995,0.5099999999999998,2.684563758389262
19,1,10.65,1.13,0.83,3.44,5.44,167,40,11.63,High,Yes,Severe,1,0.9800000000000004,2.5599999999999996,15.68075117370892
34,1,6.41,5.85,3.19,1.37,7.8,85,100,8.99,Medium,No,Severe,1,2.58,0.20000000000000018,13.260530421216849
24,1,5.74,3.25,1.19,4.92,7.24,129,16,6.67,High,No,Mild,0,0.9299999999999997,0.7599999999999998,22.473867595818813
26,2,4.56,0.8,3.24,5.73,5.61,212,131,6.65,Medium,Yes,Mild,0,2.0900000000000007,2.3899999999999997,46.491228070175445
35,0,8.73,2.48,2.49,5.07,6.1,233,38,10.07,Low,No,Severe,1,1.3399999999999999,1.9000000000000004,26.689576174112254
28,0,8.06,0.86,1.95,5.43,8.82,114,78,10.74,High,Yes,Severe,1,2.6799999999999997,-0.8200000000000003,14.143920595533498
27,0,3.95,3.1,3.97,1.71,6.32,168,109,4.85,Medium,No,Mild,0,0.8999999999999995,1.6799999999999997,42.53164556962025
28,1,9.0,2.36,2.24,4.34,7.65,124,47,11.4,High,No,Moderate,1,2.4000000000000004,0.34999999999999964,13.777777777777779
27,2,4.82,5.51,3.02,2.64,8.66,58,91,5.58,Medium,Yes,Moderate,1,0.7599999999999998,-0.6600000000000001,12.033195020746888
32,2,10.77,4.34,1.67,1.58,7.31,77,97,11.95,High,No,Severe,1,1.1799999999999997,0.6900000000000004,7.149489322191273
28,2,7.5,2.86,2.68,0.64,8.03,120,152,8.37,High,No,Mild,0,0.8699999999999992,-0.02999999999999936,16.0
35,1,10.09,0.92,0.38,5.23,7.53,148,36,10.84,High,Yes,Severe,1,0.75,0.46999999999999975,14.66798810703667
18,2,5.2,3.23,0.83,1.22,4.77,196,57,7.64,Low,Yes,Mild,0,2.4399999999999995,3.2300000000000004,37.69230769230769
31,0,10.33,5.77,3.62,0.61,8.53,118,85,12.26,Low,Yes,Moderate,1,1.9299999999999997,-0.5299999999999994,11.423039690222652
30,2,10.05,3.76,1.19,4.75,6.29,102,179,11.24,Low,Yes,Severe,1,1.1899999999999995,1.71,10.149253731343283
27,1,6.1,2.73,3.67,1.55,4.99,55,164,8.75,High,No,Mild,0,2.6500000000000004,3.01,9.01639344262295
30,1,10.39,1.94,3.39,0.94,7.5,66,179,11.92,Medium,No,Severe,1,1.5299999999999994,0.5,6.352261790182868
31,1,7.06,4.2,1.65,5.39,5.51,104,71,9.06,Low,Yes,Severe,1,2.000000000000001,2.49,14.73087818696884
23,1,6.15,4.75,0.11,2.71,7.73,165,169,7.33,High,Yes,Moderate,1,1.1799999999999997,0.2699999999999996,26.829268292682926
25,1,5.08,5.85,0.86,5.55,6.39,143,67,7.97,Medium,Yes,Severe,1,2.8899999999999997,1.6100000000000003,28.149606299212596
35,1,10.17,1.96,2.91,5.75,8.39,146,168,11.21,Low,No,Moderate,1,1.040000000000001,-0.39000000000000057,14.355948869223205
30,1,3.09,2.06,2.62,3.75,7.46,217,21,3.71,Medium,Yes,Moderate,0,0.6200000000000001,0.54,70.22653721682848
34,0,8.06,5.35,3.41,5.59,6.32,159,23,10.43,Low,Yes,Moderate,1,2.369999999999999,1.6799999999999997,19.727047146401983
22,0,4.1,5.15,0.8,3.26,7.84,104,92,5.98,Low,Yes,Moderate,1,1.8800000000000008,0.16000000000000014,25.365853658536587
24,1,3.67,0.84,1.91,5.91,4.93,234,166,4.42,High,No,Moderate,0,0.75,3.0700000000000003,63.76021798365123
28,1,10.08,1.04,2.81,0.98,6.73,72,49,12.54,Low,No,Moderate,1,2.459999999999999,1.2699999999999996,7.142857142857143
27,2,11.16,4.18,0.02,5.84,6.84,225,37,12.38,Low,Yes,Severe,1,1.2200000000000006,1.1600000000000001,20.161290322580644
27,0,5.85,5.5,3.74,0.91,8.68,74,126,7.54,High,No,Severe,1,1.6900000000000004,-0.6799999999999997,12.64957264957265
27,1,10.74,1.53,0.29,3.55,8.84,29,178,12.49,High,Yes,Severe,1,1.75,-0.8399999999999999,2.7001862197392925
27,1,4.52,4.03,0.48,2.06,4.72,201,75,5.23,Medium,Yes,Severe,1,0.7100000000000009,3.2800000000000002,44.46902654867257
31,2,8.37,2.88,2.65,2.64,6.33,84,103,9.71,Medium,Yes,Severe,1,1.3400000000000016,1.67,10.03584229390681
27,0,11.04,0.51,2.53,2.06,7.74,36,134,13.0,High,No,Severe,1,1.9600000000000009,0.2599999999999998,3.2608695652173916
30,0,8.44,3.29,3.93,3.79,8.92,27,109,9.2,High,No,Severe,1,0.7599999999999998,-0.9199999999999999,3.199052132701422
29,0,11.45,5.54,0.83,2.5,6.77,246,52,14.08,Low,No,Moderate,1,2.630000000000001,1.2300000000000004,21.48471615720524
22,0,6.51,1.23,2.61,2.73,4.62,117,17,8.2,High,Yes,Mild,0,1.6899999999999995,3.38,17.972350230414747
26,1,4.0,1.72,3.95,2.58,7.42,127,61,5.15,High,No,Moderate,0,1.1500000000000004,0.5800000000000001,31.75
18,0,11.72,5.89,1.65,3.48,4.77,89,40,13.43,High,Yes,Moderate,1,1.709999999999999,3.2300000000000004,7.593856655290102
31,1,4.52,3.26,0.45,2.43,8.07,61,50,5.59,High,Yes,Moderate,0,1.0700000000000003,-0.07000000000000028,13.495575221238939
35,1,4.4,0.57,1.11,2.3,5.2,69,106,7.4,High,No,Moderate,0,3.0,2.8,15.68181818181818
26,0,3.83,4.49,2.22,2.99,8.11,78,110,6.55,Low,Yes,Moderate,1,2.7199999999999998,-0.10999999999999943,20.365535248041777
18,0,10.43,5.7,1.26,2.25,8.01,133,52,11.34,High,Yes,Moderate,1,0.9100000000000001,-0.009999999999999787,12.751677852348994
27,1,4.06,4.35,2.66,5.76,7.0,30,168,6.46,High,Yes,Moderate,1,2.4000000000000004,1.0,7.389162561576355
35,2,3.15,0.9,3.58,1.06,5.79,241,99,4.26,Low,No,Moderate,0,1.1099999999999999,2.21,76.5079365079365
21,2,11.37,1.94,1.88,2.75,6.54,207,175,12.19,Low,Yes,Moderate,1,0.8200000000000003,1.46,18.20580474934037
34,2,9.07,5.59,0.89,2.62,7.9,147,158,11.18,Low,Yes,Severe,1,2.1099999999999994,0.09999999999999964,16.207276736493935
21,0,9.01,1.04,3.3,3.91,8.57,133,79,11.84,Low,No,Moderate,1,2.83,-0.5700000000000003,14.761376248612653
28,0,7.97,5.77,3.66,4.81,7.17,98,20,9.83,Medium,Yes,Moderate,1,1.8600000000000003,0.8300000000000001,12.296110414052698
31,0,8.1,0.77,1.19,5.42,6.84,225,154,9.67,Medium,Yes,Moderate,1,1.5700000000000003,1.1600000000000001,27.77777777777778
28,1,6.78,1.82,1.81,2.0,6.5,31,36,8.28,Low,No,Moderate,1,1.4999999999999991,1.5,4.572271386430678
25,0,6.76,3.58,1.2,5.44,4.76,111,71,8.85,High,No,Mild,0,2.09,3.24,16.420118343195266
30,2,8.54,1.38,2.45,2.69,5.71,137,142,11.19,Low,No,Moderate,1,2.6500000000000004,2.29,16.04215456674473
27,2,9.08,1.82,0.56,1.88,5.46,151,16,11.5,Medium,Yes,Severe,1,2.42,2.54,16.629955947136565
22,2,5.77,4.46,1.37,5.68,6.29,47,98,7.61,Medium,No,Severe,1,1.8400000000000007,1.71,8.145580589254767
18,2,6.46,5.09,2.25,2.58,5.23,62,109,8.09,Low,Yes,Moderate,1,1.63,2.7699999999999996,9.597523219814242
22,1,8.59,2.36,2.4,2.47,8.69,237,36,9.9,High,Yes,Severe,1,1.3100000000000005,-0.6899999999999995,27.590221187427243
19,0,5.52,5.51,0.56,2.89,5.33,245,173,7.52,Medium,Yes,Moderate,1,2.0,2.67,44.3840579710145
27,2,11.56,3.8,3.32,0.65,4.89,138,153,14.38,Low,Yes,Severe,1,2.8200000000000003,3.1100000000000003,11.937716262975778
25,1,8.31,5.45,1.53,1.65,8.36,233,16,9.8,Low,No,Moderate,1,1.4900000000000002,-0.35999999999999943,28.038507821901323
21,1,10.55,3.73,2.0,2.16,8.01,230,106,11.07,Low,Yes,Severe,1,0.5199999999999996,-0.009999999999999787,21.800947867298575
19,2,3.96,1.82,0.97,2.56,5.52,174,139,4.67,Low,Yes,Moderate,0,0.71,2.4800000000000004,43.93939393939394
18,1,4.65,3.7,1.37,1.05,5.16,235,102,6.09,High,No,Mild,0,1.4399999999999995,2.84,50.537634408602145
34,1,9.66,2.45,2.4,0.51,6.52,179,51,10.73,Medium,No,Moderate,1,1.0700000000000003,1.4800000000000004,18.530020703933747
25,2,3.75,2.62,2.51,3.06,8.02,216,34,4.96,Medium,No,Mild,0,1.21,-0.019999999999999574,57.6
27,2,10.54,2.94,3.13,1.15,5.83,213,105,11.53,High,Yes,Moderate,1,0.9900000000000002,2.17,20.208728652751425
32,1,11.77,2.85,1.68,2.85,4.76,65,135,13.89,Medium,Yes,Moderate,1,2.120000000000001,3.24,5.522514868309261
23,1,7.98,5.02,2.59,3.12,4.75,189,33,10.47,High,Yes,Moderate,1,2.49,3.25,23.684210526315788
25,0,3.62,1.13,1.91,3.51,8.67,26,113,5.69,Medium,No,Moderate,0,2.0700000000000003,-0.6699999999999999,7.18232044198895
25,0,4.22,1.59,1.95,3.47,7.14,38,50,5.67,High,No,Mild,0,1.4500000000000002,0.8600000000000003,9.004739336492891
25,0,11.2,0.96,1.14,1.34,5.9,25,25,11.77,High,Yes,Severe,1,0.5700000000000003,2.0999999999999996,2.232142857142857
25,2,8.13,3.46,3.63,1.32,5.59,198,33,9.15,Medium,No,Severe,1,1.0199999999999996,2.41,24.354243542435423
34,0,10.66,2.59,0.83,5.84,7.9,157,81,11.42,High,Yes,Severe,1,0.7599999999999998,0.09999999999999964,14.727954971857411
28,0,8.13,5.35,1.36,1.66,6.86,30,39,8.88,Medium,Yes,Severe,1,0.75,1.1399999999999997,3.6900369003690034
23,0,9.3,2.66,0.74,2.95,8.07,76,109,9.96,Low,No,Moderate,1,0.6600000000000001,-0.07000000000000028,8.172043010752688
28,0,11.49,1.71,3.23,1.87,8.78,113,115,12.78,Medium,No,Severe,1,1.2899999999999991,-0.7799999999999994,9.834638816362054
34,0,6.97,2.11,1.7,1.41,8.16,167,88,9.24,Low,Yes,Moderate,1,2.2700000000000005,-0.16000000000000014,23.959827833572454
22,0,5.83,5.77,2.31,5.84,6.38,118,151,8.65,Low,Yes,Moderate,1,2.8200000000000003,1.62,20.240137221269297
22,0,9.76,5.32,2.84,1.49,8.75,209,96,12.02,High,No,Moderate,1,2.26,-0.75,21.41393442622951
26,0,10.8,0.9,2.3,2.16,8.41,188,110,13.55,Low,Yes,Moderate,1,2.75,-0.41000000000000014,17.407407407407405
33,1,7.15,5.91,2.76,5.2,7.51,198,16,8.37,Medium,No,Severe,1,1.2199999999999989,0.4900000000000002,27.69230769230769
29,2,4.05,3.36,2.79,0.79,4.61,78,171,5.87,Low,No,Mild,0,1.8200000000000003,3.3899999999999997,19.25925925925926
22,0,9.97,1.56,2.58,5.34,7.62,165,84,11.26,High,No,Severe,1,1.2899999999999991,0.3799999999999999,16.54964894684052
32,1,3.11,1.58,2.52,4.19,8.32,220,148,4.68,Low,Yes,Moderate,0,1.5699999999999998,-0.3200000000000003,70.7395498392283
22,2,3.24,5.72,0.2,5.38,7.54,94,143,6.04,Low,No,Severe,1,2.8,0.45999999999999996,29.012345679012345
24,2,4.84,4.64,1.69,2.98,7.09,25,145,5.76,High,No,Severe,1,0.9199999999999999,0.9100000000000001,5.1652892561983474
20,2,9.28,2.6,3.41,4.02,5.64,93,126,11.97,High,Yes,Moderate,1,2.6900000000000013,2.3600000000000003,10.021551724137932
29,1,11.26,2.04,2.86,0.79,8.4,57,81,13.31,Low,Yes,Severe,1,2.0500000000000007,-0.40000000000000036,5.0621669626998225
18,1,3.7,5.44,1.17,1.1,6.05,250,150,5.99,High,Yes,Moderate,1,2.29,1.9500000000000002,67.56756756756756
34,1,9.6,3.67,3.03,4.54,5.79,183,32,10.25,Low,No,Moderate,1,0.6500000000000004,2.21,19.0625
29,0,6.65,5.41,1.36,4.28,8.25,68,148,8.74,Low,No,Moderate,1,2.09,-0.25,10.225563909774436
27,0,7.12,2.44,0.2,0.73,7.38,46,118,8.91,Medium,No,Moderate,1,1.79,0.6200000000000001,6.46067415730337
21,2,7.38,4.99,2.2,0.7,8.83,175,24,8.27,Medium,Yes,Severe,1,0.8899999999999997,-0.8300000000000001,23.712737127371273
34,1,9.25,4.05,0.82,4.36,6.46,47,108,11.04,Medium,No,Severe,1,1.7899999999999991,1.54,5.081081081081081
20,1,8.12,3.09,3.33,2.91,7.11,202,148,9.12,Low,Yes,Severe,1,1.0,0.8899999999999997,24.876847290640395
33,0,10.83,4.46,3.46,2.33,8.91,73,110,11.8,Medium,Yes,Severe,1,0.9700000000000006,-0.9100000000000001,6.740535549399815
28,1,6.96,1.32,1.48,2.51,5.58,83,163,9.1,High,Yes,Moderate,1,2.1399999999999997,2.42,11.925287356321839
30,0,6.6,1.28,1.87,4.77,6.67,163,26,7.27,Medium,No,Moderate,1,0.6699999999999999,1.33,24.6969696969697
35,0,7.36,5.28,0.02,5.31,5.41,58,146,8.71,Low,No,Moderate,1,1.3500000000000005,2.59,7.880434782608695
30,0,6.87,3.58,2.59,1.9,4.81,114,30,7.78,Low,No,Moderate,1,0.9100000000000001,3.1900000000000004,16.593886462882097
21,2,11.71,0.52,2.18,5.0,8.74,21,152,14.5,Medium,Yes,Moderate,1,2.789999999999999,-0.7400000000000002,1.7933390264730997
